Test,Elements,InsertionSort,MergeSort,Cocktail Shaker Sort
random,10,0.0003,0.0052,0.0002
uniform,10,0.0001,0.004,0
ordered,10,0.0001,0.0039,0.0001
reverse_ordered,10,0.0002,0.0037,0.0002
shuffle_first_10th,10,0.0001,0.0038,0.0001
shuffle_last_10th,10,0,0.0036,0
almost_sorted,10,0.0001,0.0037,0.0001
k_sorted,10,0.0001,0.0038,0.0001
zig-zag,10,0.0002,0.0038,0.0002
random,100,0.0022,0.0507,0.0108
uniform,100,0.0001,0.046,0.0001
ordered,100,0.0002,0.0448,0.0001
reverse_ordered,100,0.0027,0.0445,0.0057
shuffle_first_10th,100,0.0003,0.0443,0.0006
shuffle_last_10th,100,0.0003,0.0441,0.0007
almost_sorted,100,0.0008,0.0451,0.0015
k_sorted,100,0.0005,0.0443,0.0006
zig-zag,100,0.0021,0.0582,0.0053
random,1000,0.1352,0.5295,0.613
uniform,1000,0.0012,0.469,0.0008
ordered,1000,0.0013,0.4712,0.0008
reverse_ordered,1000,0.2163,0.4683,0.5342
shuffle_first_10th,1000,0.0032,0.4726,0.0412
shuffle_last_10th,1000,0.0033,0.464,0.0476
almost_sorted,1000,0.0292,0.502,0.1005
k_sorted,1000,0.0111,0.6735,0.0281
zig-zag,1000,0.1113,0.4647,0.3998
random,10000,11.8657,5.5007,95.297
uniform,10000,0.0122,5.3136,0.0077
ordered,10000,0.0115,4.6871,0.0076
reverse_ordered,10000,23.0493,8.9699,62.6457
shuffle_first_10th,10000,0.1234,4.6642,4.1609
shuffle_last_10th,10000,0.1254,4.8226,4.1069
almost_sorted,10000,2.6132,4.9981,10.3211
k_sorted,10000,0.2632,5.2866,2.194
zig-zag,10000,10.5193,5.1086,45.1241
random,100000,1116.31,63.832,9993.05
uniform,100000,0.1097,56.6905,0.0758
ordered,100000,0.1184,50.13,0.0764
reverse_ordered,100000,2194.44,88.2228,5477.52
shuffle_first_10th,100000,10.6373,49.6527,457.609
shuffle_last_10th,100000,10.635,51.6357,454.909
almost_sorted,100000,265.896,51.7672,1096.67
k_sorted,100000,18.4542,52.1777,214.808
zig-zag,100000,1096.34,53.0844,4037.96
